,Degree,Price,Volume,Type,Ratio
Bush 12,12.0,7.0,75.0,Ambrée,128.57142857142858
Moinette brune,8.5,5.0,75.0,Brune,127.5
Lupulus brune,8.5,5.0,75.0,Brune,127.5
Lupulus Hibernatus,9.0,5.5,75.0,Brune,122.72727272727273
Triple Moine,7.3,4.7,75.0,Blonde,116.48936170212765
Moinette blonde,8.5,5.5,75.0,Blonde,115.9090909090909
Lupulus blonde,8.5,5.5,75.0,Blonde,115.9090909090909
Lupulus Organicus,8.5,5.5,75.0,Blonde,115.9090909090909
Maredsous 10,10.0,6.6,75.0,Ambrée,113.63636363636364
Chimay grande reserve (bleue),9.0,6.0,75.0,Trappiste,112.5
Val Dieu grand cru,10.5,7.0,75.0,Brune,112.5
Chimay Cinq Cents(gde blanc),8.0,5.5,75.0,Trappiste,109.0909090909091
Binchoise brune,7.7,5.3,75.0,Brune,108.9622641509434
Li crochon brune,8.7,6.0,75.0,Brune,108.75
Saison Dupont,6.5,4.5,75.0,Blonde,108.33333333333333
Val Dieu Triple,9.0,6.3,75.0,Blonde,107.14285714285714
Chimay première (rouge),7.0,5.0,75.0,Trappiste,105.0
peak grand cru ,10.5,7.8,75.0,Brune,100.96153846153847
Rulles triple,8.4,6.65,75.0,Blonde,94.73684210526315
houppe ,7.5,6.0,75.0,Blonde,93.75
Cuvée ds trolls,7.5,6.1,75.0,Blonde,92.21311475409837
Rulles brune,6.5,5.5,75.0,Brune,88.63636363636364
Diôle,6.5,5.5,75.0,Blonde,88.63636363636364
Rulles blonde,7.0,6.0,75.0,Blonde,87.5
Abbaye bonne esperance,6.3,5.5,75.0,Blonde,85.9090909090909
Triple Karmeliet,8.4,7.5,75.0,Blonde,84.0
Delirium red,8.0,7.5,75.0,Fruitée,80.0
Lindemans Faro,5.0,4.9,75.0,Ambrée,76.53061224489795
Maredsous 6,6.0,6.0,75.0,Blonde,75.0
Delirium tremens,8.3,8.3,75.0,Blonde,75.0
Curtius,7.0,7.7,75.0,Blonde,68.18181818181819
Rulles estivale,5.0,5.9,75.0,Blonde,63.559322033898304
Mirakel,6.0,7.2,75.0,Blonde,62.5
Philomène florale,5.5,6.7,75.0,Blonde,61.56716417910447
Goliath blonde,6.0,7.5,75.0,Blonde,60.0
