,Degree,Price,Volume,Type,Ratio
Piraat,10.5,2.2,33.0,Ambrée,157.5
Bush 12 Fût,12.0,2.2,25.0,Ambrée,136.36363636363635
Coucou puissant,9.5,2.3,33.0,Ambrée,136.30434782608697
Gulden Draak 9000,10.5,2.6,33.0,Ambrée,133.26923076923077
Bush 12,12.0,7.0,75.0,Ambrée,128.57142857142858
Carolus ambrio,8.0,2.2,33.0,Ambrée,119.99999999999999
Troubadour magma,9.0,2.5,33.0,Ambrée,118.8
Bon secours heritage,8.0,2.3,33.0,Ambrée,114.78260869565219
Satan red,8.0,2.3,33.0,Ambrée,114.78260869565219
Maredsous 10,10.0,6.6,75.0,Ambrée,113.63636363636364
Quintine ambrée,8.5,2.5,33.0,Ambrée,112.2
Divine (la),8.5,2.6,33.0,Ambrée,107.88461538461539
Kwak,8.4,2.6,33.0,Ambrée,106.61538461538461
Caracole,7.5,2.4,33.0,Ambrée,103.125
Forgeronne,6.0,2.0,33.0,Ambrée,99.0
St Hubertus Ambrée,7.2,2.5,33.0,Ambrée,95.03999999999999
Gauloise ambrée,5.6,2.0,33.0,Ambrée,92.39999999999999
Philomène hoptimale,7.2,2.6,33.0,Ambrée,91.38461538461537
Delirium argentum,7.0,2.6,33.0,Ambrée,88.84615384615384
Queue de charrue ambrée,5.6,2.2,33.0,Ambrée,83.99999999999999
Saint Monon au miel,6.5,2.6,33.0,Ambrée,82.5
Fumette (la),6.5,2.6,33.0,Ambrée,82.5
St Hubertus Ambrée Fût,7.2,2.2,25.0,Ambrée,81.81818181818181
100 PAP,6.0,2.5,33.0,Ambrée,79.2
Charlesroy Bancloque,6.0,2.5,33.0,Ambrée,79.2
Jungle Joy,6.6,2.8,33.0,Ambrée,77.78571428571428
Bruxellensis,6.5,2.8,33.0,Ambrée,76.60714285714286
Lindemans Faro,5.0,4.9,75.0,Ambrée,76.53061224489795
Durbuy,5.5,2.5,33.0,Ambrée,72.6
Lindemans gueuze,4.5,1.8,25.0,Ambrée,62.5
Petite vertue (la),4.7,2.5,33.0,Ambrée,62.04
Lindemans faro,4.2,1.8,25.0,Ambrée,58.33333333333333
