,Rank,Degree,Price,Volume,Type,Ratio
Kasteel triple,1,11.0,2.2,33.0,Blonde,165.0
Bush 10,2,10.5,2.2,33.0,Blonde,157.5
Piraat,3,10.5,2.2,33.0,Ambrée,157.5
Kerel Kaishaku Fût,4,15.0,2.5,25.0,Blonde,150.0
Corne du bois des pendus quadruple ,5,12.0,2.7,33.0,Blonde,146.66666666666666
Westmalle triple,6,9.5,2.2,33.0,Trappiste,142.5
Goliath triple,7,9.0,2.1,33.0,Blonde,141.42857142857142
Chimay rouge,8,9.0,2.1,33.0,Trappiste,141.42857142857142
Kerel Kaishaku,9,15.0,3.5,33.0,Blonde,141.42857142857142
Gulden Draak,10,10.7,2.5,33.0,Brune,141.23999999999998
Saint feuillien brune,11,8.5,2.0,33.0,Brune,140.25
Rochefort 10,12,11.3,2.7,33.0,Trappiste,138.11111111111111
Saint Bernardus Abr 12,13,10.0,2.4,33.0,Brune,137.5
Bush 12 Fût,14,12.0,2.2,25.0,Ambrée,136.36363636363635
Coucou puissant,15,9.5,2.3,33.0,Ambrée,136.30434782608697
Kasteel donker,16,11.0,2.7,33.0,Brune,134.44444444444443
Carolus classic,17,8.5,2.1,33.0,Brune,133.57142857142856
Filou,18,8.5,2.1,33.0,Blonde,133.57142857142856
Gulden Draak 9000,19,10.5,2.6,33.0,Ambrée,133.26923076923077
Abeille,20,8.0,2.0,33.0,Blonde,132.0
Chimay blanche,21,8.0,2.0,33.0,Trappiste,132.0
Silly Scotch,22,8.0,2.0,33.0,Brune,132.0
Triple plaisir (la),23,8.0,2.0,33.0,Blonde,132.0
Rochefort 8,24,9.2,2.3,33.0,Trappiste,132.0
Corne du bois des pendus 10 triple,25,10.0,2.5,33.0,Blonde,132.0
Straffe Hendrik quadrupel,26,11.0,2.8,33.0,Brune,129.64285714285714
Carolus triple d'or,27,9.0,2.3,33.0,Blonde,129.13043478260872
Rochefort triple extra ,28,9.0,2.3,33.0,Trappiste,129.13043478260872
Bush 12,29,12.0,7.0,75.0,Ambrée,128.57142857142858
Malheur 12,30,12.0,3.1,33.0,Brune,127.74193548387096
Moinette brune,31,8.5,5.0,75.0,Brune,127.5
Lupulus brune,32,8.5,5.0,75.0,Brune,127.5
Duvel,33,8.5,2.2,33.0,Blonde,127.49999999999999
Dupont les bons voeux,34,9.5,2.8,37.5,Blonde,127.23214285714286
Val Dieu brune,35,8.0,2.1,33.0,Brune,125.71428571428571
Saint Bernardus Prior 8,36,8.0,2.1,33.0,Brune,125.71428571428571
Queue de charrue rouge,37,8.7,2.3,33.0,Fruitée,124.82608695652173
Chouffe houblon triple,38,9.0,2.4,33.0,Blonde,123.75
To touille ,39,9.0,2.4,33.0,Blonde,123.75
Val Dieu triple,40,9.0,2.4,33.0,Blonde,123.75
Gauloise fruits rouges,41,8.2,2.2,33.0,Fruitée,122.99999999999997
Lupulus Hibernatus,42,9.0,5.5,75.0,Brune,122.72727272727273
Black albert,43,13.0,3.5,33.0,Brune,122.57142857142857
Malheur 10,44,10.0,2.7,33.0,Blonde,122.22222222222221
lupulus organicus,45,8.5,2.3,33.0,Blonde,121.95652173913044
Barbar Bok,46,8.5,2.3,33.0,Brune,121.95652173913044
Charles Quint rouge rubis,47,8.5,2.3,33.0,Brune,121.95652173913044
Ottignies brune,48,7.0,1.9,33.0,Brune,121.57894736842105
Gauloise brune,49,8.1,2.2,33.0,Brune,121.5
Omer,50,8.0,2.2,33.0,Blonde,119.99999999999999
Carolus ambrio,51,8.0,2.2,33.0,Ambrée,119.99999999999999
Beer Lambert,52,8.0,2.2,33.0,Blonde,119.99999999999999
Chouffe,53,8.0,2.2,33.0,Blonde,119.99999999999999
Barbe noire,54,9.0,2.5,33.0,Brune,118.8
Troubadour magma,55,9.0,2.5,33.0,Ambrée,118.8
Bon secours prestige,56,9.0,2.5,33.0,Blanche,118.8
Saint Idesbald triple,57,9.0,2.5,33.0,Blonde,118.8
Tongerlo prior,58,9.0,2.5,33.0,Blonde,118.8
Gembloux kilt,59,9.0,2.5,33.0,Brune,118.8
Impératrice (l’),60,9.0,2.5,33.0,Blonde,118.8
Lupulus blonde Fût,61,8.5,1.8,25.0,Blonde,118.05555555555556
Paix Dieu,62,10.0,2.8,33.0,Blonde,117.85714285714286
Rochefort 6,63,7.5,2.1,33.0,Trappiste,117.85714285714285
Duvel triple hop,64,9.5,2.67,33.0,Blonde,117.41573033707866
Frambush,65,8.5,2.4,33.0,Fruitée,116.875
Judas,66,8.5,2.4,33.0,Blonde,116.875
Triple Moine,67,7.3,4.7,75.0,Blonde,116.48936170212765
Bersalis triple,68,9.5,2.7,33.0,Blonde,116.1111111111111
Moinette blonde,69,8.5,5.5,75.0,Blonde,115.9090909090909
Lupulus blonde,70,8.5,5.5,75.0,Blonde,115.9090909090909
Lupulus Organicus,71,8.5,5.5,75.0,Blonde,115.9090909090909
Cuvée des trolls,72,7.0,2.0,33.0,Blonde,115.5
Westmalle double,73,7.0,2.0,33.0,Trappiste,115.5
Saxo,74,7.7,2.2,33.0,Blonde,115.49999999999999
Satan red,75,8.0,2.3,33.0,Ambrée,114.78260869565219
