,Degree,Price,Volume,Type,Ratio
Bon secours prestige,9.0,2.5,33.0,Blanche,118.8
St Hubertus Blanche Fût,7.2,2.0,25.0,Blanche,90.0
Chouffe blanche,6.0,2.2,33.0,Blanche,89.99999999999999
Blanche de Bruxelles,4.5,1.8,33.0,Blanche,82.5
Peak blanche IPA ,6.5,2.6,33.0,Blanche,82.5
St bernardus witbier,5.5,2.5,33.0,Blanche,72.6
Bornier vice ,6.0,2.9,33.0,Blanche,68.27586206896552
Troublette,5.6,2.8,33.0,Blanche,66.0
Blanche de Namur,4.5,1.8,25.0,Blanche,62.5
Arsenal,5.4,2.9,33.0,Blanche,61.448275862068975
