Rank,Name,Price,Volume,Degree,Type,Ratio
1,Kerel Kaishaku Fût,2.5,25,15,Blonde,150.0
2,Kerel Kaishaku,3.5,33,15,Blonde,141.42857142857142
3,Kasteel triple,2.6,33,11,Blonde,139.6153846153846
4,Bush 10,2.5,33,10.5,Blonde,138.6
5,Queue de charrue triple,2.3,33,9,Blonde,129.13043478260872
6,Corne du bois des pendus 10 triple,2.8,33,10,Blonde,117.85714285714286
7,Duvel,2.4,33,8.5,Blonde,116.875
8,Triple plaisir (la),2.3,33,8,Blonde,114.78260869565219
9,Carolus triple d'or,2.6,33,9,Blonde,114.23076923076923
10,Jupiler Fût,1.2,25,5.4,Blonde,112.5
11,Filou,2.5,33,8.5,Blonde,112.2
12,Bertinchamps triple Fût,1.8,25,8,Blonde,111.11111111111111
13,Cuvée des trolls,2.1,33,7,Blonde,110.0
14,Malheur 10,3,33,10,Blonde,110.0
15,Goliath triple,2.7,33,9,Blonde,109.99999999999999
16,To touille ,2.7,33,9,Blonde,109.99999999999999
17,Moinette blonde,2.6,33,8.5,Blonde,107.88461538461539
18,lupulus organicus,2.6,33,8.5,Blonde,107.88461538461539
19,Saison Dupont,2,33,6.5,Blonde,107.25
20,Lupulus blonde Fût,2,25,8.5,Blonde,106.25
21,Tongerlo prior,2.8,33,9,Blonde,106.07142857142858
22,Saint Idesbald triple,2.8,33,9,Blonde,106.07142857142858
23,Val Dieu triple,2.8,33,9,Blonde,106.07142857142858
24,Bon secours Noël,2.8,33,9,Blonde,106.07142857142858
25,Chouffe houblon triple,2.8,33,9,Blonde,106.07142857142858
26,Tripick blonde,2.5,33,8,Blonde,105.6
27,Chouffe,2.5,33,8,Blonde,105.6
28,Beer Lambert,2.5,33,8,Blonde,105.6
29,Omer,2.5,33,8,Blonde,105.6
30,Dupont les bons voeux,3.4,37.5,9.5,Blonde,104.77941176470588
31,Charles Quint blonde dorée,2.7,33,8.5,Blonde,103.88888888888889
32,Empire (l’),3.2,33,10,Blonde,103.125
33,Paix Dieu,3.2,33,10,Blonde,103.125
34,Bertinchamps triple ,3.9,50,8,Blonde,102.56410256410257
35,Straffe Hendrik triple,2.9,33,9,Blonde,102.41379310344828
36,Impératrice (l’),2.9,33,9,Blonde,102.41379310344828
37,Esprit triple,2.6,33,8,Blonde,101.53846153846153
38,Bon secours tradition,2.6,33,8,Blonde,101.53846153846153
39,Charles Quint ommegang,2.6,33,8,Blonde,101.53846153846153
40,Barbar,2.6,33,8,Blonde,101.53846153846153
41,Hopus,2.7,33,8.3,Blonde,101.44444444444446
42,Tête de mort Fût,2,25,8.1,Blonde,101.25
43,Duvel triple hop citra,3.1,33,9.5,Blonde,101.12903225806451
44,Triple moine,2.4,33,7.3,Blonde,100.375
45,Paranoia Fût,2,25,8,Blonde,100.0
46,Delirium Tremens Fût,2,25,8,Blonde,100.0
47,Rulles Grande 10 ,3.3,33,10,Blonde,100.0
48,Gauloise blonde,2.1,33,6.3,Blonde,99.0
49,Guillotine (la),3,33,9,Blonde,99.0
50,Duvel triple hop cashmere,3.2,33,9.5,Blonde,97.96875
51,Belle-fleur,3.2,33,9.5,Blonde,97.96875
52,Station 16 saison,2.7,33,8,Blonde,97.77777777777777
53,Saint Idesbald blonde,2.2,33,6.5,Blonde,97.49999999999999
54,Saint feuillien triple,2.9,33,8.5,Blonde,96.72413793103449
55,Peak triple ,2.9,33,8.5,Blonde,96.72413793103449
56,Carolus whisky infused,2.9,33,8.5,Blonde,96.72413793103449
57,Mobius triple bio,2.9,33,8.5,Blonde,96.72413793103449
58,Big nose,3.1,33,9,Blonde,95.80645161290322
59,Saint feuillien blonde,2.6,33,7.5,Blonde,95.1923076923077
60,Barbe d'or,2.6,33,7.5,Blonde,95.1923076923077
61,Floreffe blonde,2.2,33,6.3,Blonde,94.5
62,Leopold 7 triple de hesbaye,2.8,33,8,Blonde,94.28571428571429
63,Jambe de bois,2.8,33,8,Blonde,94.28571428571429
64,Waterloo triple,2.8,33,8,Blonde,94.28571428571429
