Rank,Name,Price,Volume,Degree,Type,Ratio
1,Kerel Kaishaku Fût,2.5,25,15,Blonde,150.0
2,Kerel Kaishaku,3.5,33,15,Blonde,141.42857142857142
3,Kasteel triple,2.6,33,11,Blonde,139.6153846153846
4,Piraat,2.5,33,10.5,Ambrée,138.6
5,Bush 10,2.5,33,10.5,Blonde,138.6
6,Bush 12 Fût,2.2,25,12,Ambrée,136.36363636363635
7,Chimay rouge,2.2,33,9,Trappiste,135.0
8,Corne du bois des pendus quadruple ,3,33,12,Ambrée,132.0
9,Queue de charrue triple,2.3,33,9,Blonde,129.13043478260872
10,Bush 12,7,75,12,Ambrée,128.57142857142858
11,Moinette brune,5,75,8.5,Brune,127.5
12,Gulden Draak,2.8,33,10.7,Brune,126.10714285714285
13,Westmalle triple,2.5,33,9.5,Trappiste,125.4
14,Kasteel donker,2.9,33,11,Brune,125.17241379310346
15,Peak grand cru ,2.8,33,10.5,Brune,123.75000000000001
16,Rochefort triple extra ,2.4,33,9,Trappiste,123.75
17,Black albert,3.5,33,13,Brune,122.57142857142857
18,Rochefort 10,3.1,33,11.3,Trappiste,120.29032258064517
19,Gulden Draak 9000,2.9,33,10.5,Ambrée,119.48275862068967
20,Lupulus Hibernatus,5.7,75,9,Brune,118.42105263157895
21,Corne du bois des pendus 10 triple,2.8,33,10,Blonde,117.85714285714286
22,Straffe Hendrik quadrupel,3.1,33,11,Brune,117.09677419354838
23,Duvel,2.4,33,8.5,Blonde,116.875
24,Moinette brune,2.4,33,8.5,Brune,116.875
25,Malheur 12,3.4,33,12,Brune,116.47058823529412
26,Lupulus blonde,5.5,75,8.5,Blonde,115.9090909090909
27,Saint Bernardus Prior 8,2.3,33,8,Brune,114.78260869565219
28,Triple plaisir (la),2.3,33,8,Blonde,114.78260869565219
29,Carolus triple d'or,2.6,33,9,Blonde,114.23076923076923
30,Jupiler Fût,1.2,25,5.4,Blonde,112.5
31,Rochefort 8,2.7,33,9.2,Trappiste,112.44444444444443
32,Filou,2.5,33,8.5,Blonde,112.2
33,Lupulus brune,5.7,75,8.5,Brune,111.84210526315789
34,Gauloise brune,2.4,33,8.1,Brune,111.37500000000001
35,Bertinchamps triple Fût,1.8,25,8,Blonde,111.11111111111111
36,Cuvée des trolls,2.1,33,7,Blonde,110.0
37,Mc Chouffe,2.4,33,8,Brune,110.0
38,Chimay blanche,2.4,33,8,Trappiste,110.0
39,Saint Bernardus Abr 12,3,33,10,Brune,110.0
40,Malheur 10,3,33,10,Blonde,110.0
41,Goliath triple,2.7,33,9,Blonde,109.99999999999999
42,To touille ,2.7,33,9,Blonde,109.99999999999999
43,Binchoise brune,5.3,75,7.7,Brune,108.9622641509434
44,Moinette blonde,2.6,33,8.5,Blonde,107.88461538461539
45,Delirium nocturnum,2.6,33,8.5,Brune,107.88461538461539
46,Carolus classic,2.6,33,8.5,Brune,107.88461538461539
47,lupulus organicus,2.6,33,8.5,Blonde,107.88461538461539
48,Saison Dupont,2,33,6.5,Blonde,107.25
49,Chimay Blanche (Cinq Cents),5.6,75,8,Trappiste,107.14285714285715
50,Maredsous 10,3.1,33,10,Ambrée,106.45161290322581
51,Queue de charrue rouge,2.7,33,8.7,Fruitée,106.33333333333331
52,Lupulus blonde Fût,2,25,8.5,Blonde,106.25
53,Lupulus Organicus,6,75,8.5,Blonde,106.25
54,Moinette blonde,6,75,8.5,Blonde,106.25
55,Tongerlo prior,2.8,33,9,Blonde,106.07142857142858
56,Saint Idesbald triple,2.8,33,9,Blonde,106.07142857142858
57,Val Dieu triple,2.8,33,9,Blonde,106.07142857142858
58,Chatte noire (la),2.8,33,9,Brune,106.07142857142858
59,Bon secours prestige,2.8,33,9,Blanche,106.07142857142858
60,Bon secours Noël,2.8,33,9,Blonde,106.07142857142858
61,Chouffe houblon triple,2.8,33,9,Blonde,106.07142857142858
62,Tripick blonde,2.5,33,8,Blonde,105.6
63,Floreffe prima melior,2.5,33,8,Brune,105.6
64,Chouffe,2.5,33,8,Blonde,105.6
