Rank,Name,Price,Volume,Degree,Type,Ratio
1,Chimay rouge,2.2,33,9,Trappiste,135.0
2,Westmalle triple,2.5,33,9.5,Trappiste,125.4
3,Rochefort triple extra ,2.4,33,9,Trappiste,123.75
4,Rochefort 10,3.1,33,11.3,Trappiste,120.29032258064517
5,Rochefort 8,2.7,33,9.2,Trappiste,112.44444444444443
6,Chimay blanche,2.4,33,8,Trappiste,110.0
7,Chimay bleue,3,33,9,Trappiste,99.0
8,Rochefort 6,2.6,33,7.5,Trappiste,95.1923076923077
9,Chimay Verte (150),3.5,33,10,Trappiste,94.28571428571429
10,Westmalle double,2.7,33,7,Trappiste,85.55555555555554
11,Westmalle extra,2.1,33,4.8,Trappiste,75.42857142857143
12,Orval,3,33,6.2,Trappiste,68.2
13,Chimay dorée,2.7,33,4.8,Trappiste,58.666666666666664
