,Degree,Price,Volume,Type,Ratio
Kasteel triple,11,2.2,33,Blonde,165.0
Bush 10,10.5,2.2,33,Blonde,157.5
Kerel Kaishaku Fût,15,2.5,25,Blonde,150.0
Corne du bois des pendus quadruple ,12,2.7,33,Blonde,146.66666666666666
Kerel Kaishaku,15,3.5,33,Blonde,141.42857142857142
Goliath triple,9,2.1,33,Blonde,141.42857142857142
Gauloise brune,8.1,4.5,75,Blonde,135.0
Filou,8.5,2.1,33,Blonde,133.57142857142856
Abeille,8,2,33,Blonde,132.0
Corne du bois des pendus 10 triple,10,2.5,33,Blonde,132.0
Triple plaisir (la),8,2,33,Blonde,132.0
Carolus triple d'or,9,2.3,33,Blonde,129.13043478260872
Moinette blonde,8.5,2.2,33,Blonde,127.49999999999999
Duvel,8.5,2.2,33,Blonde,127.49999999999999
Dupont les bons voeux,9.5,2.8,37.5,Blonde,127.23214285714286
Chouffe houblon triple,9,2.4,33,Blonde,123.75
Val Dieu triple,9,2.4,33,Blonde,123.75
To touille ,9,2.4,33,Blonde,123.75
Malheur 10,10,2.7,33,Blonde,122.22222222222221
lupulus organicus,8.5,2.3,33,Blonde,121.95652173913044
Omer,8,2.2,33,Blonde,119.99999999999999
Beer Lambert,8,2.2,33,Blonde,119.99999999999999
Saint Idesbald triple,9,2.5,33,Blonde,118.8
Impératrice (l’),9,2.5,33,Blonde,118.8
Tongerlo prior,9,2.5,33,Blonde,118.8
Lupulus blonde Fût,8.5,1.8,25,Blonde,118.05555555555556
Paix Dieu,10,2.8,33,Blonde,117.85714285714286
Duvel triple hop,9.5,2.67,33,Blonde,117.41573033707866
Judas,8.5,2.4,33,Blonde,116.875
Triple Moine,7.3,4.7,75,Blonde,116.48936170212765
Bersalis triple,9.5,2.7,33,Blonde,116.1111111111111
Lupulus blonde,8.5,5.5,75,Blonde,115.9090909090909
Lupulus Organicus,8.5,5.5,75,Blonde,115.9090909090909
Cuvée des trolls,7,2,33,Blonde,115.5
Saxo,7.7,2.2,33,Blonde,115.49999999999999
Waterloo triple,8,2.3,33,Blonde,114.78260869565219
Esprit triple,8,2.3,33,Blonde,114.78260869565219
Bon secours tradition,8,2.3,33,Blonde,114.78260869565219
Tripick blonde,8,2.3,33,Blonde,114.78260869565219
Barbar,8,2.3,33,Blonde,114.78260869565219
Bertinchamps triple ,8,3.5,50,Blonde,114.28571428571429
Big nose,9,2.6,33,Blonde,114.23076923076923
