,Degree,Price,Volume,Type,Ratio
Saint feuillien brune,8.5,2,33,Brune,140.25
Saint Bernardus Abr 12,10,2.4,33,Brune,137.5
Kasteel donker,11,2.7,33,Brune,134.44444444444443
Carolus classic,8.5,2.1,33,Brune,133.57142857142856
peak grand cru ,10.5,2.6,33,Brune,133.26923076923077
Silly Scotch,8,2,33,Brune,132.0
Straffe Hendrik quadrupel,11,2.8,33,Brune,129.64285714285714
Malheur 12,12,3.1,33,Brune,127.74193548387096
Moinette brune,8.5,5,75,Brune,127.5
Lupulus brune,8.5,5,75,Brune,127.5
Saint Bernardus Prior 8,8,2.1,33,Brune,125.71428571428571
Val Dieu brune,8,2.1,33,Brune,125.71428571428571
Lupulus Hibernatus,9,5.5,75,Brune,122.72727272727273
Black albert,13,3.5,33,Brune,122.57142857142857
Charles Quint rouge rubis,8.5,2.3,33,Brune,121.95652173913044
Barbar Bok,8.5,2.3,33,Brune,121.95652173913044
Ottignies brune,7,1.9,33,Brune,121.57894736842105
Barbe noire,9,2.5,33,Brune,118.8
Gembloux kilt,9,2.5,33,Brune,118.8
Mc Chouffe,8,2.3,33,Brune,114.78260869565219
Troubadour obscura,8.2,2.4,33,Brune,112.74999999999999
Val Dieu grand cru,10.5,7,75,Brune,112.5
Delirium nocturnum,8.5,2.5,33,Brune,112.2
Maredsous 8,8,2.4,33,Brune,110.0
Waterloo dark,8,2.4,33,Brune,110.0
Floreffe prima melior,8,2.4,33,Brune,110.0
Chatte noire (la),9,2.7,33,Brune,109.99999999999999
Whack,9,2.7,33,Brune,109.99999999999999
Binchoise brune,7.7,5.3,75,Brune,108.9622641509434
Nostradamus,9.9,3,33,Brune,108.89999999999999
Li crochon brune,8.7,2,25,Brune,108.74999999999999
Valduc Thor,9.5,2.9,33,Brune,108.10344827586208
Corne du bois des pendus black,8,2.5,33,Brune,105.6
Grimbergen double,6.5,2.1,33,Brune,102.14285714285714
Big mama,8,2.6,33,Brune,101.53846153846153
Brusseleir,8,2.6,33,Brune,101.53846153846153
Papegaie,8,2.6,33,Brune,101.53846153846153
Tongerlo brune nox,6.7,2.2,33,Brune,100.49999999999999
Gulden Draak,10.7,8,75,Brune,100.3125
Bertinchamps brune,7,3.5,50,Brune,100.0
Fruit défendu,8,2.7,33,Brune,97.77777777777777
Queue de charrue brune,5.4,2,33,Brune,89.10000000000001
Rulles brune,6.5,5.5,75,Brune,88.63636363636364
Ciney brune,7,2,25,Brune,87.5
Noire du midi,6.9,2.7,33,Brune,84.33333333333333
Bourgogne des flandres,5,2.2,33,Brune,75.0
Duchesse de bourgogne,6.2,2.2,25,Brune,70.45454545454545
Bourgogne des flandres Fût,5,1.8,25,Brune,69.44444444444444
Wood stout,8,4.1,33,Brune,64.39024390243902
Black Mamba,4.3,2.5,33,Brune,56.760000000000005
Bacchus,4.5,3,37.5,Brune,56.25
