,Degree,Price,Volume,Type,Ratio
Queue de charrue rouge,8.7,2.3,33,Fruitée,124.82608695652173
Gauloise fruits rouges,8.2,2.2,33,Fruitée,122.99999999999997
Frambush,8.5,2.4,33,Fruitée,116.875
Barbar Rouge,8,2.4,33,Fruitée,110.0
Val dieu fruitee,9,2.7,33,Fruitée,109.99999999999999
Tête de mort red ,8.2,2.7,33,Fruitée,100.2222222222222
Pêche Mel Bush Fût,8,2,25,Fruitée,100.0
Chouffe cherry Fût,8,2,25,Fruitée,100.0
Delirium red Fût,8,2,25,Fruitée,100.0
Bon secours myrtille,7,2.4,33,Fruitée,96.25
Kasteel red Fût,8,2.2,25,Fruitée,90.9090909090909
Lindemans tarot d'or,8,2.2,25,Fruitée,90.9090909090909
Lindemans tarot noir,8,2.2,25,Fruitée,90.9090909090909
Kasteel rubus,7,2.6,33,Fruitée,88.84615384615384
Fagnes blood orange,7,2.6,33,Fruitée,88.84615384615384
Atrium Avalanche ,6.8,2.6,33,Fruitée,86.3076923076923
Leffe ruby,5,2,33,Fruitée,82.5
Delirium red,8,7.5,75,Fruitée,80.0
Lindemans tarot d'or Fût,8,2.5,25,Fruitée,80.0
Kasteel rubus Fût,7,2.2,25,Fruitée,79.54545454545453
Gembloux fruitée dans les bois,6.5,2.7,33,Fruitée,79.44444444444444
Waterloo Cherry,6,2.5,33,Fruitée,79.2
Embuscade,5.8,2.6,33,Fruitée,73.61538461538461
Blanche de Bruxelles rosée,4.5,2.1,33,Fruitée,70.71428571428571
Bertinchamps pamplemousse Fût,5,1.8,25,Fruitée,69.44444444444444
Ardenne Rouge ,7,3.4,33,Fruitée,67.94117647058823
Frambo sour power,5.5,2.9,33,Fruitée,62.58620689655173
Wittekerke rosée,4.3,1.8,25,Fruitée,59.72222222222222
Floris mangue ,4.6,2.7,33,Fruitée,56.222222222222214
Newton,3.5,2.1,33,Fruitée,55.0
bacchus kriek ,5.8,3.5,33,Fruitée,54.68571428571429
Rodenbach,5.2,2.4,25,Fruitée,54.16666666666667
Mongozo coconut,4.5,2.8,33,Fruitée,53.03571428571429
Liefmans fruitesse kriek,3.8,1.8,25,Fruitée,52.77777777777778
Mongozo banane,4.5,2.9,33,Fruitée,51.20689655172414
Floris honey,4.3,2.8,33,Fruitée,50.67857142857143
Timmermans pêche ,4,2,25,Fruitée,50.0
Mongozo mango,4.5,3.1,33,Fruitée,47.90322580645161
Lupulus fructus Fût,4,2.1,25,Fruitée,47.61904761904762
Timmermans framboise,4,2.1,25,Fruitée,47.61904761904762
Mystic cerise,3.5,1.9,25,Fruitée,46.05263157894737
Lindemans cassis,3.5,1.9,25,Fruitée,46.05263157894737
Lindemans apple,3.5,1.9,25,Fruitée,46.05263157894737
Blanche de Namur pomme,3.1,1.8,25,Fruitée,43.05555555555556
Floris passion,3.6,2.8,33,Fruitée,42.42857142857143
Legia fruitée menthe cassis,3,2.4,33,Fruitée,41.25
Grisette fruits des bois,3.5,2.3,25,Fruitée,38.04347826086957
Floris apple,3,2.7,33,Fruitée,36.666666666666664
Lindemans pêcheresse,2.5,1.9,25,Fruitée,32.89473684210527
Lindemans framboise,2.5,1.9,25,Fruitée,32.89473684210527
Ritchie citron framboise ,0,2.1,33,Fruitée,0.0
Ritchie grapefruit pineapple ,0,2,33,Fruitée,0.0
Ritchie cola ,0,2,33,Fruitée,0.0
Liefmans 0 %,0,2.1,33,Fruitée,0.0
