,Degree,Price,Volume,Type,Ratio
Chimay rouge,9,2.1,33,Trappiste,141.42857142857142
Rochefort 10,11.3,2.7,33,Trappiste,138.11111111111111
Rochefort 8,9.2,2.3,33,Trappiste,132.0
Chimay blanche,8,2,33,Trappiste,132.0
Rochefort triple extra ,9,2.3,33,Trappiste,129.13043478260872
Rochefort 6,7.5,2.1,33,Trappiste,117.85714285714285
Westmalle double,7,2,33,Trappiste,115.5
Chimay grande reserve (bleue),9,6,75,Trappiste,112.5
Westmalle triple,9.5,6.4,75,Trappiste,111.328125
Chimay Cinq Cents(gde blanc),8,5.5,75,Trappiste,109.0909090909091
Chimay première (rouge),7,5,75,Trappiste,105.0
Chimay bleue,9,3,33,Trappiste,99.0
Chimay 150,10,3.5,33,Trappiste,94.28571428571429
Orval,6.2,3,33,Trappiste,68.2
Chimay dorée,4.8,2.5,33,Trappiste,63.36
